sun5|STUK-1
sun6|STUK-2
sun15|RLI
sun21|RPR
sun22|SDS
sun23|RC-7 DRU
sun24|RC-7 DPK
sun25|RC-6 DRU
sun27|RC-13 DRU
sun28|RC-13 DPK
sun29|RC-5 DRU
sun30|RC-5 DPK
sun31|RC-3 DRU
sun32|RC-3 DPK
sun33|RC-15 DRU
sun35|RC-16 DRU
sun36|RC-16 DPK
sun37|RC-8 DPK
sun38|RC-8 DRU
sun39|RC-2 DPK
sun40|RC-2 DRU
sun41|RC-4 DPK
sun42|RC-4 DRU
sun43|RC-9 DPK
sun44|RC-9 DRU
sun46|RC-12 DRU
sun47|RC-11 DPK
sun48|RC-11 DRU
sun49|RC-10 DPK
sun50|RC-10 DRU
sun51|RC-1 DPK
sun52|RC-1 DRU
sun54|REZERV-1 DPK
sun55|REZERV-2 DRU
sun56|REZERV-2 DPK
sun57|RC-14 DRU
sun58|RC-14 DPK
sun59|POP
sun60|SINOPTIK
sun71|ADC DPK-1
sun72|ADC DPK-2
sun73|ADC DPP-1
sun74|ADC DPP-2
sun75|VISHKA RPA
sun76|STUK-A2
sun79|VISHKA SDP-1
sun80|VISHKA SDP-2
sun81|VISHKA DPR-1
sun82|VISHKA DPR-2
sun83|VISHKA PDP-1
sun84|VISHKA PDP-2
sun92|RPA
pivp51|GO PVD OP-1
pivp52|GO PVD OP-2
